transaction_id,user_id,timestamp,amount,location_city,distance_from_home_km,device_id,transaction_type,merchant_category,is_fraud
TXN_000001,USR_0052,2026-03-16 08:16:28,108.33,Paris,4.54,DEV_088,Online,Luxury,0
TXN_000002,USR_0022,2026-03-27 16:54:12,126.12,Sydney,1.19,DEV_022,Online,Utilities,0
TXN_000003,USR_0089,2026-01-11 14:44:00,43.19,London,0.24,DEV_089,Online,Utilities,0
TXN_000004,USR_0051,2026-03-21 15:59:39,68.34,Mumbai,0.24,DEV_051,Online,Gaming,0
TXN_000005,USR_0089,2026-02-09 04:27:39,41.64,London,0.08,DEV_089,POS,Gaming,0
TXN_000006,USR_0008,2026-02-28 22:14:06,42.24,New York,1.01,DEV_008,Online,Gaming,0
TXN_000007,USR_0054,2026-01-04 03:30:36,107.0,Sydney,14.03,DEV_054,ATM,Utilities,0
TXN_000008,USR_0087,2026-03-06 18:33:31,35.58,Toronto,2.46,DEV_087,Online,Gaming,0
TXN_000009,USR_0060,2026-03-25 12:52:11,32.84,New York,0.9,DEV_060,Online,Travel,0
TXN_000010,USR_0011,2026-03-20 09:10:10,94.87,Sydney,7.38,DEV_011,ATM,Grocery,0
TXN_000011,USR_0072,2026-01-12 12:41:47,14.27,New York,1.86,DEV_072,POS,Luxury,0
TXN_000012,USR_0035,2026-03-17 03:38:40,241.75,Mumbai,9.45,DEV_035,Online,Luxury,0
TXN_000013,USR_0009,2026-03-25 10:32:46,11.67,Sydney,0.57,DEV_009,POS,Gaming,0
TXN_000014,USR_0094,2026-02-02 18:54:28,44.34,Sydney,7.04,DEV_086,ATM,Electronics,0
TXN_000015,USR_0045,2026-02-05 09:13:33,143.35,Berlin,8.14,DEV_045,POS,Electronics,0
TXN_000016,USR_0092,2026-02-11 05:08:40,17.58,Paris,1.29,DEV_092,ATM,Travel,0
TXN_000017,USR_0070,2026-02-18 19:11:03,53.11,Sydney,5.9,DEV_070,Online,Grocery,0
TXN_000018,USR_0052,2026-01-18 07:36:16,29.04,Paris,1.42,DEV_052,Online,Grocery,0
TXN_000019,USR_0059,2026-01-10 09:52:48,44.41,Mumbai,0.17,DEV_059,POS,Transfer,0
TXN_000020,USR_0044,2026-01-26 17:26:49,28.01,Paris,5.58,DEV_044,POS,Transfer,0
TXN_000021,USR_0098,2026-02-05 15:39:49,120.19,Tokyo,8.01,DEV_098,POS,Luxury,0
TXN_000022,USR_0020,2026-03-28 12:05:15,11.09,Paris,3.59,DEV_020,Online,Grocery,0
TXN_000023,USR_0040,2026-01-01 19:48:15,128.19,New York,5.63,DEV_040,POS,Electronics,0
TXN_000024,USR_0099,2026-01-02 17:01:58,120.47,Mumbai,4.05,DEV_099,Online,Gaming,0
TXN_000025,USR_0069,2026-01-02 08:43:16,23.59,Berlin,1.63,DEV_069,ATM,Utilities,0
TXN_000026,USR_0033,2026-03-11 22:11:35,188.31,London,7.69,DEV_033,Online,Grocery,0
TXN_000027,USR_0099,2026-02-20 02:06:16,610.38,Sydney,2833.92,DEV_068,Online,Gaming,1
TXN_000028,USR_0021,2026-02-24 02:25:51,78.17,Berlin,9.46,DEV_021,Online,Luxury,0
TXN_000029,USR_0086,2026-03-18 01:57:10,67.93,Sydney,19.29,DEV_086,POS,Transfer,0
TXN_000030,USR_0030,2026-01-29 10:33:04,54.09,Sydney,1.09,DEV_030,Online,Grocery,0
TXN_000031,USR_0017,2026-01-21 09:00:27,210.04,London,12.32,DEV_024,Online,Utilities,0
TXN_000032,USR_0053,2026-01-02 08:01:34,134.63,Berlin,1.74,DEV_053,Online,Electronics,0
TXN_000033,USR_0025,2026-01-08 23:08:25,87.4,Toronto,4.22,DEV_025,Online,Travel,0
TXN_000034,USR_0027,2026-01-19 07:53:13,97.75,Mumbai,5.97,DEV_027,Online,Travel,0
TXN_000035,USR_0026,2026-03-17 13:00:18,71.46,Mumbai,0.43,DEV_026,POS,Utilities,0
TXN_000036,USR_0016,2026-03-08 06:52:59,11.82,New York,4.32,DEV_016,Online,Electronics,0
TXN_000037,USR_0063,2026-03-10 05:01:49,68.09,Berlin,0.15,DEV_063,POS,Transfer,0
TXN_000038,USR_0097,2026-03-26 08:44:55,25.8,Paris,4.88,DEV_097,POS,Luxury,0
TXN_000039,USR_0055,2026-03-23 05:50:31,252.03,Toronto,3.63,DEV_055,Online,Gaming,0
TXN_000040,USR_0058,2026-01-17 11:21:26,23.24,Tokyo,0.42,DEV_058,Online,Electronics,0
TXN_000041,USR_0001,2026-02-17 00:35:58,61.79,London,6.27,DEV_001,Wire Transfer,Travel,0
TXN_000042,USR_0064,2026-03-22 12:21:18,95.12,New York,0.24,DEV_064,Online,Transfer,0
TXN_000043,USR_0078,2026-01-01 02:37:15,12.7,Sydney,9.67,DEV_078,Online,Transfer,0
TXN_000044,USR_0039,2026-01-30 21:15:15,46.98,Toronto,2.54,DEV_039,Online,Travel,0
TXN_000045,USR_0010,2026-02-12 17:55:05,55.19,Tokyo,3.88,DEV_010,ATM,Electronics,0
TXN_000046,USR_0092,2026-03-31 00:59:43,114.92,Paris,5.65,DEV_101,POS,Grocery,0
TXN_000047,USR_0033,2026-02-24 09:21:43,24.16,London,0.36,DEV_035,Online,Electronics,0
TXN_000048,USR_0008,2026-02-01 08:48:28,11.53,New York,8.42,DEV_114,POS,Transfer,0
TXN_000049,USR_0036,2026-02-07 02:40:20,61.61,Paris,2.75,DEV_036,POS,Gaming,0
TXN_000050,USR_0082,2026-01-01 19:37:20,37.09,Tokyo,13.35,DEV_082,POS,Grocery,0
TXN_000051,USR_0099,2026-03-19 14:47:04,59.68,Mumbai,3.43,DEV_099,Online,Gaming,0
TXN_000052,USR_0012,2026-03-17 01:47:40,16.22,Paris,1.92,DEV_012,POS,Travel,0
TXN_000053,USR_0016,2026-02-28 15:40:36,69.96,New York,4.03,DEV_016,POS,Travel,0
TXN_000054,USR_0053,2026-01-14 21:39:53,367.79,Berlin,0.29,DEV_053,POS,Travel,0
TXN_000055,USR_0076,2026-01-27 08:19:20,72.59,Paris,0.53,DEV_076,Online,Luxury,0
TXN_000056,USR_0066,2026-03-05 03:56:52,27.26,Tokyo,4.35,DEV_066,Online,Travel,0
TXN_000057,USR_0089,2026-01-05 13:35:40,40.68,London,0.44,DEV_089,POS,Electronics,0
TXN_000058,USR_0019,2026-02-12 15:45:01,10.74,Mumbai,3.16,DEV_019,ATM,Travel,0
TXN_000059,USR_0001,2026-03-09 04:54:26,222.86,London,2.35,DEV_001,Online,Utilities,0
TXN_000060,USR_0058,2026-01-22 15:50:03,62.78,Paris,1.95,DEV_058,Online,Luxury,0
TXN_000061,USR_0019,2026-01-28 11:12:19,21.82,Mumbai,1.22,DEV_019,POS,Luxury,0
TXN_000062,USR_0016,2026-02-08 09:43:50,31.44,New York,15.02,DEV_016,POS,Electronics,0
TXN_000063,USR_0092,2026-01-19 02:14:59,38.34,New York,4.38,DEV_092,POS,Travel,0
TXN_000064,USR_0017,2026-01-24 04:42:48,119.26,London,5.77,DEV_017,ATM,Electronics,0
